Team,Opponent,Match_Type,Date,Location,Team_Score,Opponent_Score,Possession_Team,Possession_Opponent,Shots_Team,Shots_Opponent,Fouls_Team,Fouls_Opponent,Yellow_Cards_Team,Yellow_Cards_Opponent,Red_Cards_Team,Red_Cards_Opponent
Spain,Portugal,Tournament,2013-02-08,Neutral,3,3,55.15239207176431,55.74990766666793,8,22,15,11,4,1,1,0
England,Belgium,Qualifier,2013-02-09,Away,3,0,62.00551769535767,41.78812706466264,11,18,10,12,0,3,0,0
Brazil,Spain,Friendly,2013-02-10,Home,1,3,40.7315140355533,39.83172909284931,16,21,5,12,1,0,1,0
England,Spain,Tournament,2013-02-11,Away,5,3,43.60096541183919,36.219826522813584,20,21,16,19,1,4,0,1
Belgium,Brazil,Qualifier,2013-02-12,Neutral,0,4,66.68097009511348,35.40689096338073,19,22,15,13,1,3,1,1
England,England,Qualifier,2013-02-13,Home,0,0,60.2076903850298,51.03429492725677,23,7,5,9,4,4,0,0
Argentina,Portugal,Friendly,2013-02-14,Away,2,2,56.21076699190551,57.260280917738854,23,12,7,6,0,2,1,0
England,Belgium,Tournament,2013-02-15,Away,5,2,40.16110770332161,48.10932822942542,9,11,13,10,2,3,0,0
Spain,Argentina,Friendly,2013-02-16,Home,4,5,57.9431171490066,34.944123961914016,10,24,6,5,3,2,0,0
France,Brazil,Friendly,2013-02-17,Away,0,4,65.47054580167804,55.91025198086105,23,12,19,14,3,0,0,1
France,Belgium,Tournament,2013-02-18,Away,4,1,39.23190619578626,52.284875932865525,6,26,16,10,1,0,0,1
Germany,Germany,Tournament,2013-02-19,Neutral,0,5,58.24495791663293,45.251018210617886,3,15,10,7,3,0,0,1
Brazil,Spain,Tournament,2013-02-20,Neutral,0,2,45.74775813590035,43.20187508504054,20,8,7,17,3,0,0,1
Brazil,Brazil,Qualifier,2013-02-21,Away,2,0,34.7506965176248,37.32611564600568,8,11,10,7,4,2,1,1
Argentina,Argentina,Qualifier,2013-02-22,Away,3,1,60.53842706134728,35.851978353258275,6,21,15,11,2,2,0,0
Spain,Netherlands,Tournament,2013-02-23,Home,2,3,36.685471567373455,43.55086777874797,25,18,15,8,3,1,1,0
Germany,Argentina,Qualifier,2013-02-24,Neutral,0,0,40.11585093961486,31.66524496413821,8,10,11,9,2,1,0,1
Belgium,Germany,Friendly,2013-02-25,Home,5,1,61.31768163514769,47.4650965120523,14,8,17,19,3,2,1,1
Brazil,Brazil,Tournament,2013-02-26,Away,3,2,59.6853114249855,54.062957171397436,8,6,17,10,1,0,1,0
France,Germany,Friendly,2013-02-27,Home,5,5,40.1673226417758,67.66617101171562,11,3,11,16,1,1,1,0
England,Portugal,Tournament,2013-02-28,Away,5,3,67.63858457385469,55.03312573110948,10,20,18,14,2,3,1,0
England,Portugal,Friendly,2013-03-01,Neutral,5,3,38.61140900308766,54.96304187423599,26,12,6,16,2,2,0,1
Germany,Netherlands,Tournament,2013-03-02,Neutral,3,0,69.74488859856129,44.97659222414423,23,17,7,18,2,3,0,0
Spain,Spain,Friendly,2013-03-03,Away,5,5,59.51599487805758,35.33268625124204,10,3,8,10,2,0,0,1
Spain,England,Tournament,2013-03-04,Neutral,3,3,45.70030762205611,47.87750613023369,11,20,12,6,0,2,0,1
Italy,France,Tournament,2013-03-05,Away,4,1,35.21396826649936,53.94705276270056,1,18,9,7,1,1,0,1
Netherlands,Belgium,Qualifier,2013-03-06,Home,0,4,42.820398206384546,58.96134386623216,15,12,5,5,3,1,1,1
Brazil,Germany,Friendly,2013-03-07,Away,1,2,37.74954045860195,63.043470955817234,5,22,13,7,0,3,1,1
Spain,Belgium,Qualifier,2013-03-08,Home,5,0,54.873583459760766,40.23712368272486,14,24,5,12,2,2,0,1
France,Netherlands,Friendly,2013-03-09,Away,2,5,44.27420612551827,39.6488030091155,23,16,6,19,3,0,1,1
Germany,Belgium,Qualifier,2013-03-10,Neutral,4,4,41.80029044975428,52.61199452418072,26,28,11,8,1,4,1,1
Belgium,Belgium,Tournament,2013-03-11,Away,2,4,60.28532766873489,52.640607325377175,25,22,15,6,2,4,0,1
Italy,Argentina,Qualifier,2013-03-12,Away,1,0,39.22397739400732,38.717911868110974,28,10,7,8,4,0,0,1
Portugal,Brazil,Qualifier,2013-03-13,Away,3,1,53.47557269702018,53.499012414050924,20,19,10,18,2,1,0,0
Argentina,Spain,Tournament,2013-03-14,Neutral,1,5,37.783843712941824,43.8351539989758,8,9,12,19,3,4,0,0
Belgium,France,Qualifier,2013-03-15,Away,2,2,58.59194430932382,55.57259675514531,17,14,9,11,1,0,0,0
Portugal,Brazil,Tournament,2013-03-16,Neutral,1,0,55.00485935010387,41.641788546888066,4,20,5,13,2,3,0,0
England,Argentina,Friendly,2013-03-17,Away,0,5,61.92614060708124,53.69167168286306,4,14,14,9,1,1,1,0
Argentina,Belgium,Qualifier,2013-03-18,Home,1,4,32.739882990507155,60.73240164947692,18,22,18,17,0,0,0,0
Brazil,France,Tournament,2013-03-19,Away,5,4,38.40421798020086,69.2063510280775,27,4,16,9,4,3,0,0
France,Argentina,Tournament,2013-03-20,Home,0,0,36.17841442213863,66.44272225887029,27,15,7,16,0,2,1,1
Argentina,Argentina,Qualifier,2013-03-21,Neutral,5,5,37.62244961142947,50.14154989309809,19,20,15,9,4,4,0,1
Netherlands,Argentina,Friendly,2013-03-22,Neutral,1,4,34.12056316552203,49.53396333270472,3,27,6,14,0,4,0,1
Portugal,Portugal,Qualifier,2013-03-23,Away,0,0,52.483276057442914,47.508000237429954,9,2,10,13,1,4,1,1
Brazil,France,Tournament,2013-03-24,Neutral,0,0,53.73725628202218,31.110023919545537,7,26,18,11,1,0,0,1
Netherlands,Argentina,Friendly,2013-03-25,Away,1,2,63.73959022376041,36.63817989945046,2,18,9,18,0,2,0,0
England,England,Qualifier,2013-03-26,Neutral,4,0,46.709527057750506,32.36756353216223,9,2,11,7,3,0,0,0
Netherlands,Belgium,Tournament,2013-03-27,Home,3,5,51.29538852297791,57.85420339101283,24,18,6,18,0,0,1,0
Italy,France,Qualifier,2013-03-28,Neutral,3,5,69.65216237644444,46.52938600872662,6,8,18,6,2,2,0,0
Italy,Portugal,Friendly,2013-03-29,Home,3,4,51.273803334367166,32.550795122616385,6,10,17,13,3,3,1,0
Germany,Germany,Friendly,2013-03-30,Away,0,3,52.94304351008064,57.6230031061548,28,20,10,7,1,1,0,0
Belgium,Germany,Friendly,2013-03-31,Away,3,2,69.83669659509536,55.777434513117754,16,4,15,17,0,4,1,0
Belgium,Spain,Friendly,2013-04-01,Away,0,5,69.7651752579909,58.798513227619885,2,10,9,15,3,2,1,1
Brazil,Italy,Friendly,2013-04-02,Home,4,4,46.96121782389148,53.993364710462764,29,10,10,12,2,3,0,0
England,England,Qualifier,2013-04-03,Away,1,4,55.39787318411858,36.46158239789136,16,27,19,19,4,2,0,1
Spain,Germany,Friendly,2013-04-04,Away,1,2,49.23210031349013,32.45569190968675,3,3,19,16,1,1,1,0
Italy,Portugal,Friendly,2013-04-05,Home,0,2,58.828618066288016,62.68563880908149,22,21,9,8,3,2,1,1
Brazil,Italy,Tournament,2013-04-06,Neutral,0,4,67.53546084533566,38.63235995863464,16,4,11,9,3,2,1,0
Spain,Argentina,Friendly,2013-04-07,Away,4,3,42.38637233493093,51.70116961896731,12,23,9,12,3,3,0,0
Belgium,Argentina,Tournament,2013-04-08,Neutral,3,1,62.75500681755765,49.408680589287485,3,10,19,9,0,4,0,0
Germany,Netherlands,Tournament,2013-04-09,Neutral,4,4,56.193957311039206,66.84210161746057,11,7,18,14,1,4,1,0
Netherlands,Belgium,Tournament,2013-04-10,Away,1,2,41.20739205096869,52.097590434171934,11,22,17,6,1,3,1,1
Italy,Italy,Qualifier,2013-04-11,Away,1,0,61.891986327279746,53.20067541548603,23,23,11,10,0,3,0,1
Brazil,Belgium,Qualifier,2013-04-12,Home,5,0,47.08532076790286,42.78020134863251,16,12,5,11,0,0,1,1
Argentina,Portugal,Tournament,2013-04-13,Home,3,2,34.8158870192518,68.34778807074645,5,7,19,16,0,0,0,1
Spain,England,Qualifier,2013-04-14,Away,1,2,69.73665429103238,54.49495262956938,20,13,13,5,2,1,1,1
Netherlands,Italy,Friendly,2013-04-15,Neutral,5,1,47.02585331889276,30.199215343650323,8,8,10,14,3,0,0,1
Italy,Germany,Qualifier,2013-04-16,Home,0,5,51.662101895046455,52.24329054939853,11,27,13,13,2,0,1,0
Belgium,England,Friendly,2013-04-17,Home,1,2,62.31846923055043,44.55461553220805,11,13,5,10,1,2,0,0
England,Netherlands,Friendly,2013-04-18,Away,2,0,68.43504540479734,31.28448817195329,18,1,6,8,0,2,0,1
Spain,Belgium,Qualifier,2013-04-19,Away,3,3,64.91551399841262,47.26199142028338,19,16,11,6,3,3,1,1
Belgium,Belgium,Qualifier,2013-04-20,Away,5,2,51.002128312062666,60.94265953514519,10,19,8,13,4,4,1,1
Italy,England,Tournament,2013-04-21,Away,3,1,51.82784302132461,50.151578318254494,28,28,18,10,3,1,1,1
Spain,Argentina,Qualifier,2013-04-22,Home,3,3,41.23547746438652,55.57836344559979,4,19,17,13,4,0,0,0
Netherlands,Belgium,Qualifier,2013-04-23,Home,2,1,48.51211512636335,55.58965862881268,28,21,14,6,3,2,1,1
Italy,Netherlands,Qualifier,2013-04-24,Home,4,3,67.8735552870059,56.84077209933707,10,26,18,9,0,4,0,0
Portugal,Germany,Friendly,2013-04-25,Neutral,0,2,59.07763775754625,45.503847782743016,14,13,5,10,4,0,0,0
Brazil,France,Friendly,2013-04-26,Home,3,0,30.475079629661316,44.800193562273805,6,29,9,18,4,4,0,0
Netherlands,Germany,Friendly,2013-04-27,Home,1,3,34.66027127290964,30.18338125381101,5,7,8,15,1,2,0,0
Spain,Germany,Tournament,2013-04-28,Away,0,4,66.9524507983142,36.16889842115684,15,15,10,9,3,3,0,1
England,Belgium,Tournament,2013-04-29,Home,1,5,63.94877315710457,68.03240851126206,5,26,17,10,2,0,0,0
Belgium,Brazil,Tournament,2013-04-30,Home,0,1,49.44657862993587,63.69666863152839,23,6,11,7,2,0,0,1
Argentina,Argentina,Friendly,2013-05-01,Home,0,3,54.679131234690345,41.00433749559612,24,4,19,13,1,1,0,1
Belgium,Belgium,Qualifier,2013-05-02,Away,5,1,41.585840415229,46.047677957031325,6,22,15,6,1,0,1,1
Spain,Argentina,Tournament,2013-05-03,Home,1,0,61.713230084016956,67.59685293538533,19,23,7,18,1,2,1,0
Belgium,Portugal,Tournament,2013-05-04,Home,1,1,54.13269787557759,40.01777918214309,20,20,10,16,0,4,1,1
Brazil,Brazil,Friendly,2013-05-05,Neutral,0,1,57.79302821823661,51.30131877155719,17,11,6,6,0,4,1,1
Italy,Belgium,Tournament,2013-05-06,Neutral,3,4,44.996393520359916,30.88319136221618,14,24,16,9,0,3,1,1
Argentina,Spain,Qualifier,2013-05-07,Neutral,1,1,47.217520260459224,54.789393454112265,11,21,14,15,0,3,0,0
France,Germany,Friendly,2013-05-08,Neutral,2,3,38.30728331857827,67.20294392697579,14,19,17,14,1,2,1,1
Spain,Portugal,Friendly,2013-05-09,Away,2,1,67.92210171683487,65.38973539360089,5,2,8,7,1,4,1,0
Germany,Brazil,Qualifier,2013-05-10,Neutral,0,2,67.86228081546298,50.07876882510133,13,17,18,17,0,3,0,1
France,Belgium,Qualifier,2013-05-11,Home,4,1,62.71004988959616,55.985678891086636,12,15,14,17,0,3,0,0
Belgium,Netherlands,Qualifier,2013-05-12,Neutral,0,2,67.42220476796736,52.79192776053142,26,20,17,6,4,1,1,0
Spain,England,Tournament,2013-05-13,Away,0,5,56.61312210321515,32.67896976616702,24,18,13,10,3,1,1,1
Portugal,England,Qualifier,2013-05-14,Neutral,3,1,39.386074772122996,36.348939475069834,19,12,17,16,4,2,1,0
Germany,Argentina,Friendly,2013-05-15,Neutral,3,5,60.40842088769965,68.55269259079039,10,3,11,10,3,2,1,1
Argentina,Brazil,Qualifier,2013-05-16,Away,5,1,43.011048369668096,40.23874787486693,13,17,6,11,0,2,0,1
England,Germany,Friendly,2013-05-17,Away,4,3,47.61926757193656,45.37796864385598,15,14,10,8,0,2,1,1
Portugal,Germany,Friendly,2013-05-18,Away,4,2,40.97400655421479,50.35777231818029,20,29,18,12,0,4,1,1
France,France,Tournament,2013-05-19,Away,4,5,46.944876708850785,69.16528517573366,13,6,8,7,4,0,0,1
Italy,England,Qualifier,2013-05-20,Away,4,5,57.1726946262678,57.59974024919106,4,4,12,14,1,2,1,1
Brazil,Portugal,Tournament,2013-05-21,Away,4,2,34.42442245220119,55.18393990921461,22,21,16,5,3,1,0,1
England,Brazil,Qualifier,2013-05-22,Home,0,4,34.20827715972066,50.97599889763437,9,8,12,9,4,0,0,0
Portugal,Germany,Qualifier,2013-05-23,Neutral,0,1,57.35080048352568,58.026976583782286,26,27,5,10,0,0,0,1
Italy,France,Qualifier,2013-05-24,Neutral,5,1,61.1832466709843,56.56063562113387,19,20,12,15,1,4,0,1
Italy,Brazil,Qualifier,2013-05-25,Away,2,3,52.0586673884946,66.11363569043928,20,22,14,17,4,3,0,0
Spain,Italy,Qualifier,2013-05-26,Away,2,4,37.26564056269862,51.67341221458491,22,3,11,7,3,0,1,0
Portugal,Germany,Friendly,2013-05-27,Home,5,4,47.23027393443954,46.86010352761959,22,8,18,6,0,4,1,0
Argentina,Italy,Friendly,2013-05-28,Home,5,3,60.327020895360576,62.286481122554854,7,13,18,7,3,4,0,0
Belgium,Brazil,Qualifier,2013-05-29,Away,1,5,57.429324062099994,61.991333387472736,15,19,5,7,0,4,1,0
Germany,Germany,Friendly,2013-05-30,Home,0,2,34.394619112774805,36.7934575204835,17,15,7,11,0,2,0,1
Germany,Italy,Tournament,2013-05-31,Home,4,5,68.76588723832981,39.471679914258225,14,23,18,5,2,3,0,1
France,Spain,Tournament,2013-06-01,Away,1,0,38.93455523545346,68.34553045198822,14,7,9,15,3,2,1,1
France,France,Tournament,2013-06-02,Away,3,3,38.81558018321819,47.76438153529539,9,3,7,8,1,1,1,1
Germany,Portugal,Qualifier,2013-06-03,Away,0,2,48.394289909818234,50.78642786124759,16,19,7,15,0,3,1,0
Argentina,England,Qualifier,2013-06-04,Away,5,5,43.08972516000194,42.40640498319239,2,26,5,7,1,2,1,0
Brazil,France,Friendly,2013-06-05,Neutral,2,5,69.35943954577576,49.242840915894135,14,10,12,14,4,3,1,1
Netherlands,Italy,Friendly,2013-06-06,Neutral,0,4,33.05959093016528,59.734264287826235,4,28,13,15,0,1,0,1
Belgium,Germany,Friendly,2013-06-07,Away,5,3,42.2575676369311,49.29380389854701,3,27,9,11,0,2,1,1
Brazil,Spain,Tournament,2013-06-08,Home,0,0,45.30888641709184,42.59138719834661,3,16,5,5,0,3,1,1
Spain,Spain,Tournament,2013-06-09,Away,0,1,49.73835974887762,33.84004017577506,11,14,5,12,1,1,1,0
Netherlands,England,Tournament,2013-06-10,Neutral,0,3,30.656257149077952,67.13046082150365,5,8,13,14,2,4,1,0
Netherlands,Spain,Tournament,2013-06-11,Home,3,0,33.29448527233122,64.86631291207583,16,11,18,11,3,3,1,1
Portugal,France,Friendly,2013-06-12,Neutral,2,0,40.31238570919246,61.654597733988886,23,19,5,17,0,1,1,0
Argentina,Belgium,Qualifier,2013-06-13,Away,0,3,52.16008326742384,57.7628385537026,29,2,13,16,3,4,0,1
Argentina,Spain,Qualifier,2013-06-14,Neutral,5,2,60.71086280773889,50.62039537802334,28,5,19,16,3,1,0,0
Netherlands,England,Tournament,2013-06-15,Neutral,3,3,57.45981395259797,65.895871444898,23,11,7,12,3,0,0,0
Portugal,Spain,Qualifier,2013-06-16,Neutral,1,5,52.68099650890442,61.668060511882,23,7,7,12,1,1,0,0
Belgium,Spain,Qualifier,2013-06-17,Home,0,4,45.88931358910637,62.6404336729785,19,8,17,17,3,2,0,0
Netherlands,Netherlands,Qualifier,2013-06-18,Neutral,3,5,64.82778009024615,42.38201891997866,9,17,8,15,4,2,1,1
England,France,Tournament,2013-06-19,Home,4,0,48.39090173033042,46.93833093609593,22,12,9,13,1,2,0,1
France,Italy,Friendly,2013-06-20,Away,1,0,41.970112224357194,58.27209056493034,11,18,10,5,1,2,1,1
France,Argentina,Friendly,2013-06-21,Away,2,1,55.17340459408229,44.842492128310155,12,29,18,13,4,0,0,1
Brazil,Belgium,Qualifier,2013-06-22,Neutral,0,0,57.684599863452355,49.75898613101924,27,7,10,5,2,0,0,0
Spain,Spain,Friendly,2013-06-23,Home,0,1,45.93880979435421,55.860518708204935,26,9,14,19,2,0,1,1
France,Portugal,Friendly,2013-06-24,Away,3,0,31.125731241836583,47.51033606337124,27,19,17,7,0,4,1,1
Italy,Spain,Tournament,2013-06-25,Home,2,0,33.76526000946842,61.72158428651559,8,14,19,17,2,3,0,1
Brazil,Netherlands,Tournament,2013-06-26,Home,4,3,63.82395567574647,34.651153555380596,14,24,17,11,0,2,0,1
France,Italy,Qualifier,2013-06-27,Neutral,1,3,32.261916847412316,58.72226039128069,17,26,13,19,3,3,0,0
Spain,Portugal,Qualifier,2013-06-28,Neutral,5,4,53.68078668168529,35.80840242445112,20,19,5,17,0,2,1,1
Argentina,Belgium,Qualifier,2013-06-29,Home,2,5,37.348375417975674,67.51358619714104,15,20,13,12,2,2,0,0
Argentina,Portugal,Tournament,2013-06-30,Home,0,2,39.157051649767084,42.56150722779835,15,18,8,16,0,2,1,0
Belgium,France,Friendly,2013-07-01,Neutral,3,4,40.93335838944725,61.817294441578845,23,25,11,9,1,0,1,0
Netherlands,England,Tournament,2013-07-02,Home,4,0,31.531655447880816,50.85667912434704,12,15,19,5,2,4,1,0
England,England,Tournament,2013-07-03,Neutral,-1,4,37.0894109656117,33.643482663514966,9,21,10,7,0,2,1,0
Argentina,Belgium,Friendly,2013-07-04,Home,1,3,56.01999938055762,53.303474175643984,12,21,13,11,2,2,1,1
Portugal,Italy,Friendly,2013-07-05,Neutral,2,5,49.948685448320205,66.48710947530279,19,4,6,6,4,2,1,0
France,England,Qualifier,2013-07-06,Home,3,0,61.89316342955743,36.28937617751616,12,13,19,6,2,1,0,0
Portugal,Brazil,Friendly,2013-07-07,Neutral,5,0,32.44968426205974,42.852277974433264,11,5,15,13,4,2,1,0
Spain,Netherlands,Friendly,2013-07-08,Home,5,4,65.55593185006524,47.566346838309606,28,12,6,10,0,0,0,1
Argentina,Belgium,Friendly,2013-07-09,Away,3,5,69.85594127597892,41.00212253362615,6,17,11,8,4,0,1,0
England,Belgium,Friendly,2013-07-10,Away,0,1,30.629598889951318,67.75117898945444,8,10,19,19,2,3,0,1
Spain,Argentina,Qualifier,2013-07-11,Home,3,2,68.70560262159734,45.10001059233862,11,26,16,14,1,0,1,0
Italy,Argentina,Qualifier,2013-07-12,Away,4,5,39.4345085188408,56.32248233942715,3,12,13,18,4,3,1,1
Italy,France,Friendly,2013-07-13,Home,2,4,57.70172552824148,38.95667057480264,16,6,9,13,2,4,0,0
Portugal,France,Friendly,2013-07-14,Home,1,4,41.69933772419705,38.78823749926593,6,27,11,19,1,1,1,1
Netherlands,Argentina,Qualifier,2013-07-15,Away,5,2,50.87251514990082,37.033973424157566,9,20,15,11,3,0,0,1
Brazil,England,Qualifier,2013-07-16,Home,3,0,50.41674039344663,47.39249054106893,9,28,12,11,4,2,1,1
Netherlands,Germany,Friendly,2013-07-17,Neutral,4,0,44.444219177962886,51.314328091602164,6,20,18,12,4,4,0,1
Belgium,Belgium,Tournament,2013-07-18,Home,5,1,58.70187073153335,30.42992663006327,5,12,12,7,0,2,0,0
Netherlands,Brazil,Qualifier,2013-07-19,Home,5,4,53.98545927453257,63.316937104524584,1,13,8,6,3,3,1,1
Belgium,Belgium,Qualifier,2013-07-20,Away,1,2,50.33108015772703,50.51015570124395,3,21,14,5,0,3,1,1
Belgium,Spain,Qualifier,2013-07-21,Neutral,5,4,69.31357247673026,36.28839693665728,3,17,11,6,0,1,0,0
England,Italy,Friendly,2013-07-22,Home,4,3,67.60037304749305,32.69173250011955,12,20,5,7,2,4,1,0
Argentina,Netherlands,Friendly,2013-07-23,Home,5,4,68.21743383174646,32.52797188517312,4,10,8,9,0,3,0,1
England,Germany,Qualifier,2013-07-24,Home,5,4,65.25295839213152,40.30573947434116,21,19,16,12,4,2,0,0
Belgium,Brazil,Friendly,2013-07-25,Home,3,3,40.20621355017519,49.97168591883916,16,5,17,17,0,0,0,1
Spain,Spain,Friendly,2013-07-26,Home,3,3,43.99904123912724,64.40958144011994,11,26,18,15,1,0,0,1
Italy,France,Qualifier,2013-07-27,Home,2,2,39.24218478182031,66.11861707563614,8,5,17,15,4,4,1,1
Belgium,Brazil,Friendly,2013-07-28,Neutral,0,0,69.44707548891387,63.293116799176154,29,8,9,17,2,4,1,0
England,Argentina,Tournament,2013-07-29,Neutral,4,1,36.10647479053965,43.142538724828945,27,17,18,7,0,3,1,0
Spain,Belgium,Friendly,2013-07-30,Home,0,3,44.660470222356224,42.26231006824398,9,3,14,11,1,0,1,1
England,Brazil,Friendly,2013-07-31,Home,0,0,37.96177698877426,69.49833380619991,28,21,17,15,1,1,0,1
Netherlands,Italy,Qualifier,2013-08-01,Away,5,2,38.93815248737013,57.25122519949835,14,16,18,15,4,1,0,1
France,Portugal,Qualifier,2013-08-02,Neutral,1,5,39.88351539212846,42.19807765030167,23,27,16,9,0,1,0,0
Portugal,France,Tournament,2013-08-03,Neutral,1,4,55.58682702239816,43.16320609299214,29,19,11,9,1,1,1,0
Brazil,Netherlands,Friendly,2013-08-04,Home,5,2,33.04197480766111,47.38577757242788,26,6,16,18,0,3,0,0
England,Netherlands,Tournament,2013-08-05,Neutral,4,2,52.901194944951364,54.87226791299349,22,10,10,12,4,2,0,0
Brazil,Brazil,Tournament,2013-08-06,Neutral,0,3,62.77144945136413,65.91916639886716,15,16,8,14,3,1,0,1
Germany,Portugal,Qualifier,2013-08-07,Away,2,1,60.66095106417723,37.93228478785637,19,13,19,9,1,3,1,1
England,Belgium,Friendly,2013-08-08,Away,0,3,36.04686793129302,33.376135907378504,9,3,7,14,2,1,1,1
France,Spain,Qualifier,2013-08-09,Neutral,1,4,66.58926939115221,46.2300849581693,26,22,15,19,0,1,1,1
Brazil,Germany,Tournament,2013-08-10,Neutral,0,3,60.803615256190966,39.81821930442307,17,8,18,11,4,2,1,0
Belgium,Belgium,Tournament,2013-08-11,Neutral,3,4,30.212100437313843,53.04130693756413,9,20,10,17,4,1,0,1
England,Spain,Qualifier,2013-08-12,Home,3,3,59.494945341583445,57.96859348589686,3,8,14,16,2,3,1,0
Argentina,Germany,Qualifier,2013-08-13,Away,2,5,59.49686714487994,42.429438148697194,25,7,19,14,3,3,0,0
Portugal,Portugal,Qualifier,2013-08-14,Home,4,1,49.87264322159939,57.41805155447955,16,27,18,12,0,0,1,0
France,Germany,Qualifier,2013-08-15,Away,0,5,31.839296640254886,43.725890194312264,13,11,17,12,3,4,0,1
Brazil,Belgium,Qualifier,2013-08-16,Away,3,0,53.19623753129398,55.398725586650485,26,29,16,7,4,1,0,1
France,Italy,Tournament,2013-08-17,Away,4,1,60.62987040137237,55.322432269896,17,20,9,8,1,1,1,1
Spain,Brazil,Qualifier,2013-08-18,Neutral,3,3,40.834962212840026,41.12638813686575,24,3,18,18,3,3,1,1
Portugal,Spain,Friendly,2013-08-19,Away,4,2,56.682728730071496,55.42891006840814,22,21,16,17,1,1,0,1
Belgium,Italy,Tournament,2013-08-20,Home,4,0,44.15704780177528,45.23820382894623,25,21,7,12,2,3,0,0
England,Spain,Tournament,2013-08-21,Away,3,2,52.954193316089246,43.45819777442661,4,7,8,9,4,0,0,1
England,Brazil,Friendly,2013-08-22,Home,5,5,45.38262997726498,41.571509882659704,28,11,6,18,1,1,1,1
England,England,Friendly,2013-08-23,Away,1,1,42.150458640711165,43.825810405371556,21,17,13,16,0,0,1,1
Portugal,Germany,Tournament,2013-08-24,Away,4,0,64.23657901728177,61.46979568244592,22,25,11,5,4,0,1,1
Argentina,Portugal,Qualifier,2013-08-25,Neutral,5,5,60.153530367415065,39.80715256690068,28,18,16,11,2,4,1,0
Germany,England,Tournament,2013-08-26,Home,0,3,43.81796535892596,57.27949620585239,9,25,18,7,0,3,0,0
Italy,England,Tournament,2013-08-27,Away,5,2,47.385265664608355,66.024823399236,22,9,14,6,4,0,1,0
Netherlands,Netherlands,Friendly,2013-08-28,Away,3,3,57.66813671501384,44.01715764138248,9,13,7,16,3,3,1,1
Brazil,Argentina,Tournament,2013-08-29,Home,5,4,62.44315122362037,31.180482579796017,18,29,12,14,4,4,1,0
Argentina,Belgium,Qualifier,2013-08-30,Away,1,0,57.3736505129885,30.984241164999602,14,15,12,9,0,3,0,1
Belgium,Italy,Friendly,2013-08-31,Neutral,3,2,51.63726322730554,35.58011553401217,20,19,15,5,1,4,1,0
Brazil,Italy,Tournament,2013-09-01,Home,2,1,68.17543327725087,34.401793723946625,3,15,5,18,1,1,1,1
England,Italy,Tournament,2013-09-02,Neutral,0,1,60.965744789662544,59.92340999485733,4,7,18,13,4,4,0,1
France,Italy,Qualifier,2013-09-03,Home,2,1,34.62367441565155,41.79402867629491,1,3,9,14,4,4,0,0
Belgium,Belgium,Tournament,2013-09-04,Home,5,5,52.32556395168076,56.10039094402737,18,24,9,18,2,4,1,0
Brazil,England,Tournament,2013-09-05,Home,4,1,46.38226565582606,31.698217429014548,4,8,16,19,3,2,1,0
England,Belgium,Tournament,2013-09-06,Away,5,2,61.79742547163175,41.8296110431257,10,13,7,9,2,0,1,1
Brazil,Italy,Tournament,2013-09-07,Home,4,5,31.786521354297278,39.36584938709122,4,16,6,10,2,3,1,1
France,Argentina,Qualifier,2013-09-08,Home,2,4,46.428942798497125,41.07522041409452,21,3,5,11,1,3,1,1
England,France,Tournament,2013-09-09,Home,2,1,42.731052613739436,37.628710765351975,25,21,17,18,1,2,1,1
Germany,Brazil,Tournament,2013-09-10,Neutral,4,1,35.64743938318873,54.716640844092794,17,23,8,13,0,1,0,1
Argentina,Italy,Tournament,2013-09-11,Home,1,5,45.15216461278288,56.50691478626668,8,1,16,15,2,0,1,0
Spain,Portugal,Friendly,2013-09-12,Away,0,1,56.91201112737916,35.93861961933041,19,3,15,9,0,0,0,1
Netherlands,France,Qualifier,2013-09-13,Home,3,4,44.46711540130105,59.64583938459031,9,16,14,16,4,0,0,1
Portugal,Belgium,Friendly,2013-09-14,Home,2,5,53.20026301409461,40.00181905034516,16,1,6,8,0,0,1,0
Netherlands,Portugal,Friendly,2013-09-15,Neutral,0,5,53.712471837572366,41.31690009998262,27,18,9,16,1,2,0,0
Belgium,Portugal,Qualifier,2013-09-16,Away,3,0,53.48444508232133,63.152333553744896,24,14,16,7,2,3,0,1
Netherlands,Spain,Friendly,2013-09-17,Away,5,5,51.181275357768214,66.04663661084768,24,7,15,9,1,1,0,1
England,Portugal,Friendly,2013-09-18,Away,3,1,34.67952942729552,62.99025253873693,25,23,14,18,4,1,0,1
Germany,Italy,Friendly,2013-09-19,Home,2,5,38.738237097413034,35.91051281403716,15,3,16,14,3,1,0,1
Spain,Spain,Qualifier,2013-09-20,Home,1,1,62.002683050039565,69.97070540386079,20,29,6,14,2,2,1,1
Argentina,Netherlands,Tournament,2013-09-21,Away,1,1,50.094619556908405,56.88621659129473,16,22,5,17,1,2,1,0
Argentina,England,Qualifier,2013-09-22,Away,0,5,58.2430526334526,50.426744861628165,28,16,14,7,3,4,0,1
France,Portugal,Qualifier,2013-09-23,Neutral,5,0,52.79636320851047,68.19365631013743,21,29,14,9,4,2,0,0
Portugal,Argentina,Qualifier,2013-09-24,Away,0,1,31.547610180009535,62.69521581706374,12,6,16,12,3,0,1,0
Brazil,Brazil,Friendly,2013-09-25,Home,4,0,61.84855076071602,57.66972158514947,23,18,14,6,1,3,1,1
